mlb_id,Season,Name,ERA,RA,IP,HR,brls,GB%,HR/FB,WAR,FIP,xFIP,SIERA,rFIP,nFIP,xnFIP,nFIPwo,xnFIPwo,rnFIP,rnFIPwo,rxnFIP,rxnFIPwo
607644,2019.0,John Means,3.5469168900804293,3.981233243967829,124.33333333333331,18.0,25,0.317,0.096,2.3,4.39924299554743,5.52,5.0,4.766198064682313,3.9755671198944893,3.9896662598570876,4.066906362911229,4.081005502873827,4.2941936104541885,4.395951893205796,4.308292750416787,4.4100510331683935
434671,2019.0,Anibal Sanchez,3.8,4.133333333333333,135.0,16.0,20,0.374,0.10099999999999999,2.3,4.261381809965065,5.06,5.05,4.6283368790999475,3.9582539715125913,3.814568004512194,4.20399304542715,4.060307078426753,4.290631340096555,4.564401795605286,4.146945373096158,4.420715828604889
543699,2019.0,Tanner Roark,4.040380047505939,4.296912114014253,140.33333333333331,19.0,33,0.379,0.13,2.3,4.2501915222902165,4.57,4.54,4.617146591425099,4.3690766809469705,4.826515760642897,4.557992963584285,5.015432043280212,4.749592944055221,4.960058849728066,5.2070320237511485,5.417497929423993
628317,2019.0,Kenta Maeda,4.183098591549296,4.246478873239436,142.0,21.0,21,0.40700000000000003,0.149,2.3,4.047923281013578,4.11,4.14,4.414878350148461,3.5256972906144837,2.9977572496123273,3.5246561465624966,2.99671610556034,3.8330821994892155,3.831922292451144,3.305142158487059,3.3039822514489874
456034,2019.0,David Price,4.276397515527951,4.779503105590063,107.33333333333331,15.0,24,0.41,0.14400000000000002,2.3,3.626875253719378,3.74,3.86,3.993830322854261,3.9155529778894866,4.207380990429261,4.009264446564209,4.301092459103983,4.315437427423854,4.419838534894418,4.607265439963628,4.711666547434192
452657,2019.0,Jon Lester,4.364896073903003,5.175519630484989,144.33333333333331,23.0,37,0.42100000000000004,0.15,2.2,4.311625587229627,4.36,4.47,4.6785806563645105,4.840248061118269,5.1860755189126175,4.864689537395173,5.210516995189521,5.267502935444002,5.294732443503271,5.61333039323835,5.640559901297619
641745,2019.0,Brad Keller,4.191532258064516,4.35483870967742,165.33333333333331,15.0,30,0.5,0.102,2.2,4.354034139714169,4.95,5.24,4.720989208849051,3.9434492684942373,4.475124218186292,4.2585763580911,4.790251307783154,4.263569045957265,4.614642587042026,4.7952439956493205,5.14631753673408
547973,2019.0,Aroldis Chapman,2.2215189873417716,2.90506329113924,52.66666666666668,2.0,5,0.423,0.063,2.1,2.191620909824418,2.91,3.22,2.558575978959301,1.8047582405809406,2.2063518851455592,2.415438546836754,2.817032191401373,2.127584002425139,2.807924425910232,2.5291776469897576,3.209518070474851
605513,2019.0,Spencer Turnbull,4.452127659574469,5.098404255319149,125.33333333333331,13.0,25,0.48200000000000004,0.106,2.1,4.270128854882323,4.88,4.84,4.6370839240172055,4.201448482387146,4.734052150488341,4.537150922492806,5.069754590594001,4.560569202271932,4.934565117854627,5.093172870373127,5.467168785955822
489119,2019.0,Wade Miley,3.057692307692308,3.5769230769230766,156.0,21.0,21,0.509,0.152,2.1,4.3643732629565175,4.38,4.66,4.731328332091401,3.7324825274436377,3.251921720890393,3.891808689515535,3.4112478829622903,4.027358012119999,4.204858461153378,3.5467972055667536,3.724297654600133
571666,2019.0,Mike Fiers,3.402439024390244,3.5121951219512195,164.0,22.0,34,0.402,0.11599999999999999,2.1,4.649864194788913,5.22,5.22,5.016819263923796,4.123625606448353,4.334747987993531,4.2409104569338,4.452032838478976,4.430552799493489,4.5612162972848,4.641675181038666,4.772338678829977
456701,2019.0,Homer Bailey,4.961813842482101,5.026252983293557,139.66666666666663,20.0,26,0.44799999999999995,0.145,2.0,4.362522091057613,4.47,4.66,4.729477160192497,4.411094138069844,4.305006640156458,4.654954734307094,4.548867236393708,4.783589805868671,5.05526750632145,4.677502307955285,4.949180008408064
425794,2019.0,Adam Wainwright,4.29976580796253,4.426229508196721,142.33333333333331,17.0,31,0.488,0.139,2.0,4.298904578635375,4.46,4.73,4.665859647770257,4.2013387600318115,4.702512376461557,4.474619364333189,4.975792980762933,4.557164525844037,4.861618165753586,5.058338142273781,5.362791782183331
664192,2019.0,Joey Lucchesi,4.0,4.125,144.0,19.0,29,0.47100000000000003,0.131,2.0,4.078048476631731,4.37,4.5,4.445003545766614,3.765528015940436,3.949371571215938,3.9120849959883883,4.09592855126389,4.096833970955721,4.260108661246377,4.280677526231224,4.443952216521879
625643,2019.0,Reynaldo Lopez,5.411764705882352,5.9411764705882355,153.0,27.0,37,0.345,0.13,2.0,4.981643247873562,5.4,5.0,5.348598317008444,5.1573228926804635,5.143691714521319,5.184955082297034,5.171323904137889,5.544317685590097,5.575101870691496,5.5306865074309535,5.561470692532351
573124,2019.0,Taylor Rogers,2.426966292134831,2.426966292134831,59.333333333333336,6.0,11,0.483,0.125,2.0,2.6944654554082605,3.0,2.72,3.0614205245431436,2.5136243902690274,2.94729827145252,2.6879054846678736,3.121579365851366,2.8599509739780364,3.0541122599309634,3.293624855161529,3.487786141114456
543101,2019.0,Anthony DeSclafani,4.100467289719627,4.226635514018692,142.66666666666663,27.0,31,0.40399999999999997,0.172,1.9,4.583759795427163,4.32,4.3,4.950714864562046,4.553780043875375,4.142567740640564,4.498490642648207,4.0872783394133965,4.917315331847826,4.855719085399734,4.506103028613015,4.444506782164924
553878,2019.0,Felipe Vazquez,1.6463414634146338,1.8109756097560972,54.66666666666668,4.0,8,0.39299999999999996,0.091,1.9,2.082791024057206,2.74,2.42,2.449746093192089,2.135095018861129,2.5638930270680538,2.370510955178865,2.7993089633857897,2.508016388812129,2.7702861495508286,2.936814397019054,3.1990841577577536
605164,2019.0,Dylan Bundy,4.956521739130435,5.413043478260869,138.0,26.0,24,0.405,0.171,1.9,4.840125771317721,4.59,4.53,5.207080840452605,4.756882967435805,3.947628426464325,4.653540642056098,3.8442861010846174,5.114342555191142,4.999212002113649,4.3050880142196615,4.189957461142169
527054,2019.0,Julio Teheran,3.3750000000000004,3.7182203389830515,157.33333333333331,16.0,29,0.39399999999999996,0.094,1.9,4.341937365520621,5.19,5.13,4.708892434655503,3.924675388374353,4.340820337270576,4.046702930440032,4.4628478793362545,4.24403351039047,4.3799806971514466,4.660178459286692,4.796125646047669
593334,2019.0,Domingo German,4.012594458438288,4.352644836272041,132.33333333333331,29.0,33,0.379,0.19699999999999998,1.9,4.773612428492912,4.14,4.03,5.140567497627796,4.915172401189313,4.417897470589779,4.712355919903116,4.215080989303582,5.298275173454602,5.072323477690885,4.801000242855069,4.575048547091352
572140,2019.0,Tyler Skaggs,4.2928870292887025,4.631799163179916,79.66666666666667,9.0,14,0.371,0.114,1.8,3.8571047295373564,4.37,4.55,4.22405979867224,3.8083306626516675,3.996887266649105,4.014609869114993,4.2031664731124305,4.169722088776942,4.399531501728012,4.35827869277438,4.58808810572545
641816,2019.0,Tyler Mahle,4.720858895705521,5.300613496932515,108.66666666666667,18.0,24,0.457,0.184,1.8,4.183195034232277,3.83,4.03,4.55015010336716,4.229334561514966,4.158686156722964,4.2655510432019454,4.1949026384099435,4.601552752526371,4.641900437289825,4.530904347734369,4.571252032497823
623433,2019.0,Nick Anderson,3.253012048192771,3.253012048192771,55.333333333333336,6.0,10,0.267,0.11800000000000001,1.8,2.2591060402194154,2.69,2.37,2.6260611093542985,2.8024600444243712,3.0970599943184656,2.893414127152235,3.188014077046329,3.231395339943139,3.33272452728859,3.5259952898372333,3.6273244771826842
596133,2019.0,Luke Weaver,3.0320855614973263,3.176470588235294,62.333333333333336,6.0,11,0.40700000000000003,0.095,1.8,3.1046379002799784,3.87,3.84,3.4715929694148615,3.15344961332882,3.566251489535567,3.5025509671658055,3.9153528433725526,3.525972619759719,3.914895859097295,3.938774495966466,4.327697735304042
607192,2019.0,Tyler Glasnow,1.8620689655172413,2.0482758620689654,48.333333333333336,3.0,7,0.517,0.083,1.8,2.306592537934413,2.99,3.28,2.6735476070692963,1.435638295541633,1.9944832209050385,1.6963267944076228,2.2551717197710284,1.7032438785298254,1.9936690353579314,2.262088803893231,2.552513960721337
623352,2019.0,Josh Hader,2.7433155080213902,3.0320855614973263,62.333333333333336,13.0,14,0.226,0.22,1.8,3.2650657077666096,2.44,1.85,3.6320207769014927,3.5928884541191692,2.9996533116346105,2.690025256428925,2.0967901139443663,3.9972381644556916,2.9913856357704542,3.404003021971133,2.3981504932858955
641778,2019.0,Eric Lauer,4.545918367346941,4.8903061224489806,130.66666666666663,19.0,26,0.43,0.13,1.8,4.334284304296131,4.67,4.69,4.701239373431013,4.2293198827036775,4.215415133658502,4.447562337134072,4.433657588088897,4.584301692117998,4.827438997101602,4.570396943072822,4.813534248056427
663978,2019.0,Chris Paddack,3.691689008042896,4.126005361930296,124.33333333333331,22.0,25,0.396,0.155,1.8,4.238385086700245,4.22,3.99,4.605340155835128,3.9675263439060915,3.563394920866009,3.7733838441375003,3.3692524210974173,4.30358463844004,4.087296362633601,3.8994532153999573,3.683164939593518
527048,2019.0,Martin Perez,4.891764705882355,5.527058823529413,141.66666666666663,19.0,23,0.491,0.151,1.8,4.579290306697091,4.61,4.95,4.946245375831975,4.1508624629461055,3.9383407238156707,4.38723058392549,4.174708844795054,4.468946897946802,4.732277458762573,4.256425158816367,4.519755719632137
605135,2019.0,Chris Bassitt,3.669230769230769,3.9461538461538463,130.0,19.0,19,0.41100000000000003,0.134,1.8,4.570783519366774,4.85,4.72,4.937738588501658,4.136618870249203,3.6148671374199655,4.196879996532487,3.6751282637032494,4.454048909602514,4.5211840042752485,3.932297176773276,3.99943227144601
630023,2019.0,Yonny Chirinos,3.6236842105263154,3.907894736842105,126.66666666666667,19.0,32,0.43799999999999994,0.162,1.8,4.164305786573252,4.06,4.24,4.531260855708135,3.9526729288786346,4.385018964099011,3.975700279956425,4.408046315176801,4.295487102154337,4.321141176182133,4.727833137374713,4.753487211402509
474463,2019.0,Brett Anderson,4.038461538461538,4.153846153846154,156.0,18.0,38,0.5379999999999999,0.133,1.7,4.672065570648825,4.9,5.29,5.0390206397837085,4.367041135803158,5.164121581087762,4.547833575075944,5.344914020360548,4.699202160212054,4.9006175381728845,5.496282605496658,5.6976979834574895
488768,2019.0,Andrew Cashner,4.543902439024391,4.939024390243904,136.66666666666663,18.0,35,0.502,0.129,1.7,4.709620292349889,5.04,5.17,5.076575361484772,4.516601208128736,5.219436746881099,4.637246775644835,5.340082314397199,4.861538648896378,4.99594621969025,5.564374187648742,5.698781758442614
543272,2019.0,Brad Hand,3.1090909090909093,3.1090909090909093,55.0,5.0,8,0.271,0.09300000000000001,1.7,2.5623919109751654,3.34,2.9,2.929346980110049,2.8303427031999195,3.020178299235894,3.1421977892399298,3.332033385275904,3.2278628378966774,3.575291138971714,3.4176984339326517,3.765126735007688
519443,2019.0,Brandon Workman,2.2010869565217392,2.3478260869565215,61.333333333333336,1.0,1,0.508,0.028999999999999998,1.6,2.597372148129316,3.49,3.91,2.964327217264199,1.6764960882958562,1.6182915185580407,2.072287576924345,2.0140830071865294,1.9384071047169065,2.379346408353961,1.880202534979091,2.3211418386161453
571927,2019.0,Steven Matz,4.03990024937656,4.578553615960101,133.66666666666663,23.0,38,0.462,0.174,1.6,4.503720407914636,4.24,4.38,4.870675477049518,4.655939070096364,5.099913255615553,4.613593556679569,5.057567742198758,5.040257675836965,4.993081822554071,5.484231861356154,5.43705600807326
467100,2019.0,Ivan Nova,4.481557377049182,4.979508196721312,162.66666666666663,26.0,40,0.46399999999999997,0.156,1.6,4.987429168799309,4.96,5.19,5.354384237934192,4.851228154564544,5.092241201141754,5.0254310224770915,5.266444069054302,5.202646815334614,5.396720951529686,5.443659861911824,5.637733998106896
